"URI","rdf-schema#label","alias","birthDate","birthPlace_label","birthPlace","birthYear","country_label","country","deathDate","deathPlace_label","deathPlace","deathYear","era_label","era","imdbId","influenced_label","influenced","influencedBy_label","influencedBy","lccnId","mainInterest_label","mainInterest","nationality_label","nationality","notableIdea_label","notableIdea","philosophicalSchool_label","philosophicalSchool","region_label","region","religion_label","religion","soundRecording_label","soundRecording","spouse_label","spouse","viafId","description","point","22-rdf-syntax-ns#type_label","22-rdf-syntax-ns#type","rdf-schema#seeAlso_label","rdf-schema#seeAlso","owl#differentFrom_label","owl#differentFrom","wgs84_pos#lat","wgs84_pos#long"
"http://dbpedia.org/resource/Abdelhamid_Ben_Badis","Abdelhamid Ben Badis","NULL","1889-12-04","Constantine Algeria","http://dbpedia.org/resource/Constantine,_Algeria","1889","NULL","NULL","1940-04-16","Algeria","http://dbpedia.org/resource/Algeria","1940","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abdolkarim_Soroush","Abdolkarim Soroush","NULL","1945-12-16","{Iran|Tehran}","{http://dbpedia.org/resource/Iran|http://dbpedia.org/resource/Tehran}","1945","NULL","NULL","NULL","NULL","NULL","NULL","Contemporary philosophy","http://dbpedia.org/resource/Contemporary_philosophy","NULL","NULL","NULL","{Karl Popper|Rumi}","{http://dbpedia.org/resource/Karl_Popper|http://dbpedia.org/resource/Rumi}","NULL","{Philosophy of religion|Political philosophy|Social philosophy}","{http://dbpedia.org/resource/Philosophy_of_religion|http://dbpedia.org/resource/Political_philosophy|http://dbpedia.org/resource/Social_philosophy}","NULL","NULL","NULL","NULL","{Persian literature|Islam|Irfan|Religious intellectualism in Iran}","{http://dbpedia.org/resource/Persian_literature|http://dbpedia.org/resource/Islam|http://dbpedia.org/resource/Irfan|http://dbpedia.org/resource/Religious_intellectualism_in_Iran}","{Islamic philosophy|Western philosophy}","{http://dbpedia.org/resource/Islamic_philosophy|http://dbpedia.org/resource/Western_philosophy}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abdul-Haqq_Dehlavi","Abdul-Haqq Dehlavi","NULL","NULL","Delhi","http://dbpedia.org/resource/Delhi","1551","NULL","NULL","NULL","Delhi","http://dbpedia.org/resource/Delhi","1642","Medieval philosophy","http://dbpedia.org/resource/Medieval_philosophy","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Islamic philosophy","http://dbpedia.org/resource/Islamic_philosophy","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Islamic scholar","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","Abd al-Haqq I","http://dbpedia.org/resource/Abd_al-Haqq_I","NULL","NULL"
"http://dbpedia.org/resource/Abdul_Haq_(Urdu_scholar)","Abdul Haq (Urdu scholar)","NULL","1872-11-16","Hapur","http://dbpedia.org/resource/Hapur","{1872|1870}","NULL","NULL","1961-08-16","Karachi","http://dbpedia.org/resource/Karachi","1961","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Urdu scholar and linguist","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abdul_Haq_Ansari","Abdul Haq Ansari","NULL","1931-01-09","{India|Uttar Pradesh}","{http://dbpedia.org/resource/India|http://dbpedia.org/resource/Uttar_Pradesh}","1931","NULL","NULL","2012-10-03","NULL","NULL","2012","NULL","NULL","NULL","NULL","NULL","Abul A'la Maududi","http://dbpedia.org/resource/Abul_A'la_Maududi","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Islamic scholar/India/Amir (president):Jamaat-e-Islami Hind (JIH)(2003-2007)","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abdulhakim_Arvasi","Abdulhakim Arvasi","NULL","NULL","NULL","NULL","1865","NULL","NULL","NULL","NULL","NULL","1943","Modern history","http://dbpedia.org/resource/Modern_history","NULL","{Necip Fazıl Kısakürek|Hüseyin Hilmi Işık}","{http://dbpedia.org/resource/Necip_Fazıl_Kısakürek|http://dbpedia.org/resource/Hüseyin_Hilmi_Işık}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Sunni Islam","http://dbpedia.org/resource/Sunni_Islam","Islamic philosophy","http://dbpedia.org/resource/Islamic_philosophy","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abdullah_Quraishi_Al-Azhari","Abdullah Quraishi Al-Azhari","NULL","1935-09-19","{Telangana|Ranga Reddy district|Dundigal}","{http://dbpedia.org/resource/Telangana|http://dbpedia.org/resource/Ranga_Reddy_district|http://dbpedia.org/resource/Dundigal}","1935","NULL","NULL","2015-12-08","NULL","NULL","2015","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{Hadith|Islamic philosophy|Islamic literature|Tafsir|Qirath|Khatib}","{http://dbpedia.org/resource/Hadith|http://dbpedia.org/resource/Islamic_philosophy|http://dbpedia.org/resource/Islamic_literature|http://dbpedia.org/resource/Tafsir|http://dbpedia.org/resource/Qirath|http://dbpedia.org/resource/Khatib}","NULL","NULL","NULL","NULL","Sunni Islam","http://dbpedia.org/resource/Sunni_Islam","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Indian scholar","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abhinavagupta","Abhinavagupta","NULL","NULL","Kashmir","http://dbpedia.org/resource/Kashmir","0950","NULL","NULL","NULL","{Kashmir|Mangam}","{http://dbpedia.org/resource/Kashmir|http://dbpedia.org/resource/Mangam}","1020","NULL","NULL","NULL","{Śambhunātha|Lakṣmasṇagupta|Bhūtirāja}","{http://dbpedia.org/resource/Śambhunātha|http://dbpedia.org/resource/Lakṣmasṇagupta|http://dbpedia.org/resource/Bhūtirāja}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Kashmir Shaivism","http://dbpedia.org/resource/Kashmir_Shaivism","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abu'l-Fida","Abu'l-Fida","NULL","NULL","Damascus","http://dbpedia.org/resource/Damascus","1273","NULL","NULL","1331-10-27","Hama","http://dbpedia.org/resource/Hama","1331","NULL","NULL","NULL","NULL","NULL","Al-Shafi‘i","http://dbpedia.org/resource/Al-Shafi‘i","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Kurdish historian geographer and leader","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Abu-Abdullah_Adelabu","Abu-Abdullah Adelabu","NULL","NULL","{Nigeria|Osogbo|Osun (state)}","{http://dbpedia.org/resource/Nigeria|http://dbpedia.org/resource/Osogbo|http://dbpedia.org/resource/Osun_(state)}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Sunni Islam","http://dbpedia.org/resource/Sunni_Islam","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Nigerian Muslim scholar","NULL","{owl#Thing|person|philosopher|Q5|Person|Q215627|DUL.owl#NaturalPerson|agent|DUL.owl#Agent|Q4964182}","{http://www.w3.org/2002/07/owl#Thing|http://dbpedia.org/ontology/Person|http://dbpedia.org/ontology/Philosopher|http://www.wikidata.org/entity/Q5|http://xmlns.com/foaf/0.1/Person|http://schema.org/Person|http://www.wikidata.org/entity/Q215627|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson|http://dbpedia.org/ontology/Agent|http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent|http://www.wikidata.org/entity/Q4964182}","NULL","NULL","NULL","NULL","NULL","NULL"
