"author","birth","death","wikipageid","books","bio"
"Darrell Schweitzer",1952-08-27,,4536987,"That is Not Dead (2015 anthology)|Living with the Dead (The Tale of Old Corpsenberg)|Transients and Other Disquieting Stories|Cthulhu Mythos anthology|Sekenre: The Book of the Sorcerer|The Emperor of the Ancient Word and Other Fantastic Stories|The Thomas Ligotti Reader: Essays and Explorations|Echoes of the Goddess|The Great World and the Small: More Tales of the Ominous and Magical|Cthulhu's Reign|Tom O'Bedlam's Night Out and Other Strange Excursions|The Darrell Schweitzer Megapack|The Neil Gaiman Reader|Necromancies and Netherworlds: Uncanny Stories|Refugees from an Imaginary Country|The Robert E. Howard Reader|Nightscapes: Tales of the Ominous and Magical|Awaiting Strange Gods: Weird and Lovecraftian Fictions|Deadly Things: A Collection of Mysterious Tales / The Judgment of the Gods and Other Verdicts of History|We Are All Legends","Darrell Charles Schweitzer (born August 27, 1952) is an American writer, editor, and critic in the field of speculative fiction. Much of his focus has been on dark fantasy and horror, although he does also work in science fiction and fantasy. Schweitzer is also a prolific writer of literary criticism and editor of collections of essays on various writers within his preferred genres."
"Lydia Chukovskaya",1907-03-24,1996-02-08,3920681,"Sofia Petrovna","Lydia Korneyevna Chukovskaya (Russian: Ли́дия Корне́евна Чуко́вская; [ˈlʲidʲɪjə kɐrˈnʲejɪvnə tɕʊˈkofskəjə]; 24 March [O.S. 11 March] 1907 – February 8, 1996) was a Soviet writer and poet. Her deeply personal writings reflect the human cost of Soviet totalitarianism, and she devoted much of her career to defending dissidents such as Aleksandr Solzhenitsyn and Andrei Sakharov. She was herself the daughter of the celebrated children's writer Korney Chukovsky, wife of the scientist Matvei Bronstein, and close associate and chronicler of the poet Anna Akhmatova."
"W. W. Jacobs",1863-09-08,1943-09-01,929591,"The Monkey's Paw|The Lady of the Barge","William Wymark ""W. W."" Jacobs (8 September 1863 – 1 September 1943) was an English author of short stories and novels. Although much of his work was humorous, he is most famous for his horror story ""The Monkey's Paw""."
"Robin Laws",1964-10-14,,2111431,"Dungeon Master's Guide II|Fiendish Codex II: Tyrants of the Nine Hells","Robin D. Laws (born October 14, 1964 in Orillia, Ontario, Canada) is a Canadian writer and game designer who lives in Toronto, Ontario, Canada. He is the author of a number of novels and role-playing games as well as an anthologist."
"Åsa Larsson",1966-06-28,,9310980,"Until Thy Wrath Be Past|The Second Deadly Sin|The Blood Spilt|The Black Path (novel)|Sun Storm","Åsa Larsson (born 28 June 1966) is a Swedish crime-writer. Although born in Uppsala, she was raised in Kiruna in the far north. Prior to becoming a full-time writer, Larsson was a tax lawyer, a profession she shares with the heroine of her novels, Rebecka Martinsson. Her first Rebecka Martinsson novel, Solstorm, was awarded the Swedish Crime Writers' Association prize for best first novel. It was published in the UK (under the title The Savage Altar) and was shortlisted for the Duncan Lawrie International Dagger. Her second Rebecka Martinsson novel, Det blod som spillts, won the Best Swedish Crime Novel Award. Till offer åt Molok, her fifth Rebecka Martinsson novel also won the Best Swedish Crime Novel Award. The 2007 Swedish film Solstorm was based on the book The Savage Altar. She is a granddaughter of the Olympic skier Erik August Larsson."
"Michael S. Malone","1954",,9695856,"Infinite Loop (book)","Michael Shawn Malone (born January 21, 1954) is an American author, columnist, editor, investor, business-man, television producer, and has been the host of several shows on PBS. Currently (2009), Malone is a columnist for ABC News, an op-ed contributor for the Wall Street Journal, a contributing editor to Wired, and the editor-in-chief of Edgelings.com, a website focused on business and technology news in Silicon Valley. Malone is the author of numerous books and has written the ""Silicon Insider"" column for ABC since 2000. In his professional writing he usually uses the name Michael S. Malone, to distinguish his work from that of another U.S. author named Michael Malone, primarily a writer of fiction."
"Peter S. Fischer","1935",,23874808,"Dead Man's Island|Stranger at My Door","Peter Steven Fischer is an American television writer and television producer, most notable for his work on Murder, She Wrote, which he co-created with Richard Levinson and William Link. He was also the executive producer of the series for the first seven seasons. He wrote 8 of the 22 episodes the first season. Fischer wrote or co-wrote nearly three dozen episodes of the show during its run. Fischer also wrote for the television series Baretta and episodes of Columbo and Kojak. He created, produced and wrote for the NBC series The Eddie Capra Mysteries. Fischer also wrote the 1991 television film Stranger at My Door."
"Hans Christian Andersen",1805-04-02,1875-08-05,13550,"The Tinderbox|The Snowman (fairy tale)|The Teapot|The Tallow Candle|The Ice-Maiden|The Steadfast Tin Soldier|The Wild Swans|Fairy Tales Told for Children. First Collection.|The Nightingale (fairy tale)|The Princess and the Pea|Thumbelina|The Shepherdess and the Chimney Sweep|The Improvisatore|The Shadow (fairy tale)|The Little Mermaid|The Ugly Duckling|The Most Incredible Thing|The Elf Mound|Ole Lukøje|The Swineherd|The Story of a Mother|The Little Match Girl|Golden Treasure|Fairy Tales Told for Children (1838)|The Galoshes of Fortune|The Angel (fairy tale)|The Red Shoes (fairy tale)|The Snow Queen|The Sweethearts; or, The Top and the Ball|The Fir-Tree|The Flying Trunk|The Emperor's New Clothes|The Garden of Paradise|The Fairytaler|New Fairy Tales (1844)","Hans Christian Andersen (/ˈhɑːnz ˈkrɪstʃən ˈændərsən/; [hanˀs kʰʁæsd̥jan ˈɑnɐsn̩]; often referred to in Scandinavia as H. C. Andersen; 2 April 1805 – 4 August 1875) was a Danish author. Although a prolific writer of plays, travelogues, novels, and poems, Andersen is best remembered for his fairy tales. Andersen's popularity is not limited to children; his stories, called eventyr in Danish or ""fairy-tales"" in English, express themes that transcend age and nationality. Andersen's fairy tales, which have been translated into more than 125 languages, have become culturally embedded in the West's collective consciousness, readily accessible to children, but presenting lessons of virtue and resilience in the face of adversity for mature readers as well. Some of his most famous fairy tales include ""The Emperor's New Clothes"", ""The Little Mermaid"", ""The Nightingale"", ""The Snow Queen"", ""The Ugly Duckling"", and many more. His stories have inspired ballets, both animated and live-action films, and plays."
"Robert Pollok",1798-10-19,1827-09-15,1191252,"The Course of Time","Robert Pollok (19 October 1798 – 15 September 1827) was a Scottish poet best known for his work, The Course of Time, published in the year of his death. Pollok was born at North Moorhouse Farm, Loganswell Renfrewshire, Scotland. Sources differ on the exact year of his birth, some giving 1789, some 1798, and some 1799. He studied at the University of Glasgow for the ministry of the United Secession Church. During this time, he anonymously published three poems: Helen of the Glen, The Persecuted Family, and Ralph Gemmell. After Pollok's death, these would be published together under his name as Tales of the Covenanters. In 1827, shortly before leaving the university, Pollok published what was to be his final and most famous work, The Course of Time, a ten-book poem in blank verse. By its fourth edition, The Course of Time had sold 78,000 copies and was popular as far away as North America. Later that year, suffering from tuberculosis, Pollok was advised by his doctors to travel to Italy. He left Scotland with this intention, but his health worsened rapidly, and he died at Shirley (at that time near, and now a part of Southampton) on the 15th of September. He was buried in the nearby churchyard of St Nicholas, Millbrook. When the church was demolished, his memorial obelisk was removed and now stands in the grounds of Holy Trinity Church, Millbrook. Another monument to Pollok stands in Newton Mearns, Scotland, at the junction of the Glasgow/Ayr Road and the Old Mearns Road. It was unveiled on September 24, 1900, and bears the inscription ""Robert Pollok, Author of 'The Course of Time' / Born 1798 Died 1827 / He soared untrodden heights and seemed at home""."
"Donald Hall",1928-09-20,,1291198,"Ox-Cart Man|That One Day","Donald Andrew Hall, Jr. (born September 20, 1928), known as Donald Hall is an American poet, writer, editor and literary critic."
"Sam Denoff",1928-07-01,2011-07-08,16675983,"The Dick Van Dyke Show|Harry and the Hendersons (TV series)|Good Morning, World","Samuel Denoff (July 1, 1928 – July 8, 2011) was an American Emmy Award-winning screenwriter and television producer. Denoff was born in Brooklyn, New York, the son of Esther (Rothbard) and Harry Denoff, a salesman. With his long-time collaborator Bill Persky he wrote and created the television show That Girl starring Marlo Thomas. Their writing collaboration on episodes of The Dick Van Dyke Show resulted in some of the show's most popular episodes. Denoff also wrote for the 1976 Danny Thomas situation comedy The Practice."
"Zakhar Prilepin",1975-07-07,,17922327,"Sin (Prilepin novel)|The Pathologies|Sankya (novel)","Yevgenii Nikolaevich Prilepin (Russian: Евге́ний Никола́евич Приле́пин; born 7 July 1975), writing as Zahar Prilepin (Russian: Захар Прилепин), and sometimes using another pseudonym, Evgeny Lavlinsky (Russian: Евгений Лавлинский), this one mostly for journalistic publications, is a Russian writer, and a member of Russia's unregistered National Bolshevik Party since 1996."
"Christopher Tolkien",1924-11-21,,36942,"The Monsters and the Critics, and Other Essays|On Translating Beowulf|Unfinished Tales|The Letters of J. R. R. Tolkien","Christopher John Reuel Tolkien (born 21 November 1924) is the third and youngest son of the author J. R. R. Tolkien (1892–1973), and is best known as the editor of much of his father's posthumously published work. He drew the original maps for his father's The Lord of the Rings, which he signed C. J. R. T."
"Tamaz Chiladze","1931",,31871287,"The Brueghel Moon|The Pond (novel)","Tamaz Chiladze (Georgian: თამაზ ჭილაძე), (born in 1931) is a Georgian writer, dramatist and poet. He is the elder brother of a Georgian writer Otar Chiladze."
"Wil McCarthy",1966-09-16,,207581,"Aggressor Six|Hacking Matter|Bloom (novel)|The Wellstone|To Crush the Moon|The Collapsium","Wil McCarthy (born September 16, 1966, Princeton, New Jersey) is a science fiction novelist, president and co-founder of RavenBrick (a solar technology company), and the science columnist for Syfy. He currently resides in Colorado. Wil McCarthy popularized the concept of programmable matter, which he calls wellstone."
"L. Frank Baum",1856-05-15,1919-05-06,18188,"Annabel (novel)|Animal Fairy Tales|The Flying Girl|Aunt Jane's Nieces on Vacation|The Tik-Tok Man of Oz|Glinda of Oz|Rinkitink in Oz|The Lost Princess of Oz|The Magic of Oz|John Dough and the Cherub|Father Goose's Year Book|By the Candelabra's Glare|Policeman Bluejay|Sam Steele's Adventures on Land and Sea|Phoebe Daring|The Wizard of Oz (1902 musical)|The Woggle-Bug Book|The Patchwork Girl of Oz|The Wonderful Wizard of Oz|Aunt Jane's Nieces in Society|Aunt Jane's Nieces and Uncle John|The Emerald City of Oz|Dorothy and the Wizard in Oz|The Marvelous Land of Oz|The Road to Oz|The Scarecrow of Oz|Tik-Tok of Oz|Mother Goose in Prose|Sky Island|The Life and Adventures of Santa Claus|Aunt Jane's Nieces at Work|Daughters of Destiny (novel)|L. Frank Baum's Juvenile Speaker|The Woggle-Bug (musical)|The Daring Twins|Queen Zixi of Ix|Dot and Tot of Merryland|The Fate of a Crown|The Sea Fairies|Aunt Jane's Nieces|Aunt Jane's Nieces on the Ranch|The Maid of Arran|Aunt Jane's Nieces in the Red Cross|American Fairy Tales|Aunt Jane's Nieces at Millville|Ozma of Oz|Father Goose: His Book|The Tin Woodman of Oz|The Enchanted Island of Yew|The Last Egyptian|Little Wizard Stories of Oz|Aunt Jane's Nieces Out West|Aunt Jane's Nieces Abroad","Lyman Frank Baum (May 15, 1856 – May 6, 1919), better known by his pen name L. Frank Baum, was an American author chiefly known for his children's books, particularly The Wonderful Wizard of Oz. He wrote thirteen novel sequels, nine other fantasy novels, and a host of other works (55 novels in total, plus four ""lost works"", 83 short stories, over 200 poems, an unknown number of scripts, and many miscellaneous writings), and made numerous attempts to bring his works to the stage and screen. His works anticipated such century-later commonplaces as television, augmented reality, laptop computers (The Master Key), wireless telephones (Tik-Tok of Oz), women in high risk, action-heavy occupations (Mary Louise in the Country), and the ubiquity of advertising on clothing (Aunt Jane's Nieces at Work)."
"Barbro Lindgren",1937-03-18,,6991140,"Loranga, Masarin och Dartanjang","Barbro Lindgren (born 18 March 1937) is a Swedish writer of children's books. For her lasting contribution as a children's writer, Lindgren was a finalist for the biennial, international Hans Christian Andersen Award in 2004. Ten years later she won the annual Astrid Lindgren Memorial Award. The biggest cash prize in children's and young-adult literature, it rewards a writer, illustrator, oral storyteller, or reading promoter for its entire body of work."
"Chester Himes",1909-07-29,1984-11-12,1163586,"If He Hollers Let Him Go|Blind Man with a Pistol|The Real Cool Killers|Cotton Comes to Harlem (novel)","Chester Bomar Himes (July 29, 1909 – November 12, 1984) was an American writer. His works include If He Hollers Let Him Go and a series of Harlem Detective novels. In 1958 he won France's Grand Prix de Littérature Policière."
"Gregory Mcdonald",1937-02-15,2008-09-07,849703,"Fletch (novel)|Fletch Won","Gregory Mcdonald (February 15, 1937 – September 7, 2008) was an American mystery writer best known for his creation of the character Irwin Maurice Fletcher, an investigative reporter who preferred the nickname ""Fletch."" Two of the Fletch books earned Edgar Awards from the Mystery Writers of America: Fletch was named Best First Novel in 1975, and Confess, Fletch won for Best Paperback Original in 1977. This is the only time a novel and its sequel won back-to-back Edgars. Mcdonald would go on to write seven more Fletch novels, including the prequels Fletch Won and Fletch Too. The original book became a 1985 movie of the same name starring Chevy Chase."
"Eleanor Farjeon",1881-02-13,1965-06-05,343069,"The Little Bookroom","Eleanor Farjeon (13 February 1881 – 5 June 1965) was an English author of children's stories and plays, poetry, biography, history and satire. Several of her works had illustrations by Edward Ardizzone. Some of her correspondence has also been published. She won many literary awards and the Eleanor Farjeon Award for children's literature is presented annually in her memory by the Children's Book Circle, a society of publishers. She was the sister of the thriller writer Joseph Jefferson Farjeon."
"Rita Williams-Garcia","1957",,31407091,"One Crazy Summer (novel)","Rita Williams-Garcia (born 1957) is an American writer of young-adult novels. She won the 2011 Newbery Honor Award, Coretta Scott King Award, and Scott O'Dell Award for Historical Fiction for her book, One Crazy Summer. She won the PEN/Norma Klein Award. Her book, P.S. Be Eleven, won the Coretta Scott King Award in 2014. In 2016 her book, Gone Crazy in Alabama won the Coretta Scott King Award."
"George Turner (writer)",1916-10-15,1997-06-08,2442866,"The Cupboard Under the Stairs","George Reginald Turner (15 October 1916 – 8 June 1997) was an Australian writer and critic, best known for the science fiction novels written in the later part of his career. He was notable for being a ""late bloomer"" in science fiction (by the field's standards). His first SF story and novel appeared in 1978, when he was in his early sixties. By this point, however, he had already achieved considerable success as a mainstream novelist, including a Miles Franklin Award, and as a literary critic."
"Oriel Gray",1920-03-26,2003-06-30,16196767,"The Torrents","Oriel Gray (26 March 1920 – 30 June 2003) is an award winning Australian dramatist and playwright who wrote from the 1940s to 1960's. The major themes of her work were ""social and political issues such as the environment, Aborigines, assimilation and bush life"". Gray was born Oriel Bennett in Sydney, New South Wales. She came from a politically active family and was herself a member of the Communist Party of Australia from 1942 to 1950. She married John Gray in 1940, an actor whom she met while at the Sydney New Theatre and they had a son, Stephen. By 1947 her marriage had broken down and she moved onto a long term relationship with John Hepworth with whom she had two more sons, Peter and Nicholas. Gray died from a heart attack, aged 83 in Heidelberg, Victoria, on 30 June 2003."
"Raymond Federman",1928-05-15,2009-09-06,2341868,"Double or Nothing (Federman novel)","Raymond Federman (May 15, 1928 – October 6, 2009) was a French–American novelist and academic, known also for poetry, essays, translations, and criticism. He held positions at the University at Buffalo from 1973 to 1999, when he was appointed Distinguished Emeritus Professor. Federman was a writer in the experimental style, one that sought to deconstruct traditional prose. This type of writing is quite prevalent in his book Double or Nothing, in which the linear narrative of the story has been broken down and restructured so as to be nearly incoherent. Words are also often arranged on pages to resemble images or to suggest repetitious themes."
"Chris Westwood (author)",1959-11-26,,26325000,"A Light in the Black|Virtual World (novel)","Christopher Westwood also known as Chris Westwood (born 26 November 1959 in Wakefield, Yorkshire, England) is an English author and journalist. Born as the son of a coal miner and school teacher, he is best known as the author of young adult fiction and children's books. He began his writing career as a music journalist before studying Film production & TV production at a college in Bournemouth. After graduating from college, he began a career as a novelist."
"Michael O'Donoghue",1940-01-05,1994-11-08,525213,"The National Lampoon Encyclopedia of Humor","Michael O'Donoghue (January 5, 1940 – November 8, 1994) was an American writer and performer. He was known for his dark and destructive style of comedy and humor, was a major contributor to National Lampoon magazine, and was the first head writer of Saturday Night Live. He was also the first performer to utter a line on that series."
"Eva Ibbotson",1925-01-21,2010-10-20,1287963,"Which Witch? (novel)|Journey to the River Sea|The Star of Kazan|The Great Ghost Rescue|The Dragonfly Pool|The Morning Gift|A Company of Swans|A Song for Summer|The Haunting of Hiram C. Hopgood|Dial-a-Ghost","Eva Maria Charlotte Michelle Ibbotson (née Wiesner; 21 January 1925 – 20 October 2010) was an Austrian-born British novelist, known for her children's books. Some of her novels for adults have been successfully reissued for the young adult market in recent years. For the historical novel Journey to the River Sea (Macmillan, 2001), she won the Smarties Prize in category 9–11 years, garnered unusual commendation as runner up for the Guardian Prize, and made the Carnegie, Whitbread, and Blue Peter shortlists. She was a finalist for the 2010 Guardian Prize at the time of her death. Her last book, The Abominables, was one of four finalists for the same award in 2012."
"W. P. Kinsella",1935-05-25,,284301,"Shoeless Joe (novel)","William Patrick Kinsella, OC, OBC (born May 25, 1935) is a Canadian novelist and short story writer, known for his novel Shoeless Joe (1982), which was adapted into the movie Field of Dreams in 1989. His work has often concerned baseball, First Nations people, and other Canadian issues."
"Bill Bryson",1951-12-08,,5050,"Down Under (book)|At Home: A Short History of Private Life|The Life and Times of the Thunderbolt Kid|Notes from a Small Island|Notes from a Big Country|Bill Bryson's African Diary|Made in America (book)|The Mother Tongue|Shakespeare: The World as Stage|A Walk in the Woods (book)|A Short History of Nearly Everything|One Summer: America, 1927","William McGuire ""Bill"" Bryson, OBE, FRS (/ˈbraɪsən/; born December 8, 1951) is a best-selling Anglo-American author of humorous books on travel, as well as books on the English language and science. Born in the United States, he was a resident of Britain for most of his adult life before returning to America in 1995. In 2003 Bryson and his wife and four children moved back to Britain, living in the old rectory of Wramplingham, Norfolk. He served as the chancellor of Durham University from 2005 to 2011. Bryson came to prominence in the United Kingdom with the publication of Notes from a Small Island (1995), an exploration of Britain, and its accompanying television series. He received widespread recognition again with the publication of A Short History of Nearly Everything (2003), a book widely acclaimed for its accessible communication of science."
"John Romeril",1945-10-26,,9714795,"Jonah (musical)","John Henry Romeril (born 26 October 1945) is a contemporary Australian playwright. John Romeril was born and grew up in Melbourne where he attended Monash University. His first plays, I Don't Know Who To Feel Sorry For (1969) and Chicago, Chicago (1970) were written while he was still a student. Since then he has written over forty works including Mrs Thally F (1971), The Floating World (1975) and The Kelly Dance (1984). He has also written for television and the filmscript One Night the Moon was produced in 2001. His work has won the Canada-Australia Literary Award in 1976, the Victorian Government Drama Fellowship in 1988 and the Asialink Playwrighting Competition in 2004. From 2004 to 2006 he received an Australia Council Creative Fellowship from the Literature Board of the Australia Council and was the recipient of the University of New South Wales' Literary Scholarship in 2006-7. In 2008 he was awarded the Patrick White Award."
"Uroob",1915-06-08,1979-07-11,5572313,"Ummachu|Sundarikalum Sundaranmarum","P. C. Kuttikrishnan, popularly known by his penname Uroob (Malayalam: ഉറൂബ്; 1915 – 1979) was a famous Malayalam writer from Kerala state, South India. He, along with writers like Basheer, Thakazhi, Kesavadev, and Pottekkatt, formed the progressive writers in Malayalam during the twentieth century. Uroob is a recipient of Kendra Sahithya Academy Award (Malayalam) for his novel Sundarikalum Sundaranmarum."
"Harlan Coben",1962-01-04,,780351,"Fade Away (Coben novel)|Gone for Good (novel)|Hold Tight (novel)|Tell No One (novel)|Play Dead (Coben novel)|Just One Look (novel)|Miracle Cure (novel)|Promise Me (novel)|No Second Chance (novel)|The Innocent (Coben novel)|Long Lost|Shelter (novel)|One False Move (Coben novel)|Back Spin (novel)","Harlan Coben (born January 4, 1962) is an American author of mystery novels and thrillers. The plots of his novels often involve the resurfacing of unresolved or misinterpreted events in the past (murders, fatal accidents, etc.) and have multiple twists in their plots. Among his novels are two series, each involving the same protagonist. Both series are set in and around New York and New Jersey, and some characters appear in both."
"Colin Bateman",1962-06-13,,2248774,"SOS Adventures|Eddie & the Gang with No Name|Titanic 2020: Cannibal City|Divorcing Jack (novel)|Bring Me the Head of Oliver Plunkett|Murphy's Revenge|Reservoir Pups|Titanic 2020|Cycle of Violence|Belfast Confidential|Nine Inches|Of Wee Sweetie Mice and Men|The Horse with My Name|Turbulent Priests|Driving Big Davie|Shooting Sean|Murphy's Law (TV series)|Murphy's Law (novel)","Colin Bateman (known mononymously as Bateman) is a novelist, screenwriter and former journalist from Bangor, County Down, Northern Ireland."
"John Fante",1909-04-08,1983-05-08,316072,"Something for a Lonely Man|Ask the Dust","John Fante (April 8, 1909 – May 8, 1983) was an American novelist, short story writer and screenwriter of Italian descent. His 1939 work Ask the Dust, a semi-autobiograpical novel about life in and around Los Angeles, California, was the third in a series of four novels, published between 1938 and 1985, that are now collectively called ""The Bandini Quartet"". That book was made into a movie of the same name in 2006. He also wrote several other books, stories and screenplays, including the 1957 film Full of Life, based on his 1952 novel by that name. Other noted screenplays Fante co-wrote include the 1962 films Walk on the Wild Side and The Reluctant Saint and 1968's made-for-television movie Something for a Lonely Man."
"Maxine Hong Kingston",1940-10-27,,142560,"The Woman Warrior|China Men|Tripmaster Monkey","Maxine Hong Kingston (Chinese: 湯婷婷; pinyin: Tāng Tíngtíng; born October 27, 1940) is a Chinese American author and Professor Emerita at the University of California, Berkeley, where she graduated with a BA in English in 1962. Kingston has written three novels and several works of non-fiction about the experiences of Chinese immigrants living in the United States. She has contributed to the feminist movement with such works as her memoir The Woman Warrior, which discusses gender and ethnicity and how these concepts affect the lives of women. Kingston has received several awards for her contributions to Chinese American Literature including the National Book Award for Nonfiction in 1981 for China Men."
